list-none-none,1,10,1,30,111445,3714
list-none-none,1,100,1,300,235178,783
list-none-none,1,1000,1,3000,5800024,1933
list-none-none,1,10000,1,30000,819400842,27313
list-none-none,1,20000,1,60000,3201379522,53356
list-none-none,2,1,1,6,186986,31164
list-none-none,2,10,1,60,180306,3005
list-none-none,4,1,1,12,240884,20073
list-none-none,8,1,1,24,362627,15109
list-none-none,8,10,1,240,328067,1366
list-none-none,12,1,1,36,433778,12049
list-i-none,2,1,1,6,150962,25160
list-d-none,2,1,1,6,121490,20248
list-l-none,2,1,1,6,124758,20793
list-id-none,2,1,1,6,186815,31135
list-il-none,2,1,1,6,153405,25567
list-dl-none,2,1,1,6,156522,26087
list-idl-none,2,1,1,6,158130,26355
list-i-none,2,2,1,12,146430,12202
list-d-none,2,2,1,12,138443,11536
list-id-none,2,2,1,12,156204,13017
list-dl-none,2,2,1,12,158351,13195
list-idl-none,2,2,1,12,144196,12016
list-d-none,2,4,1,24,167626,6984
list-l-none,2,4,1,24,165177,6882
list-id-none,2,4,1,24,139548,5814
list-il-none,2,4,1,24,181523,7563
list-dl-none,2,4,1,24,181695,7570
list-idl-none,2,4,1,24,173453,7227
list-i-none,2,8,1,48,214555,4469
list-dl-none,2,8,1,48,248306,5173
list-idl-none,2,8,1,48,248308,5173
list-i-none,2,16,1,96,308099,3209
list-l-none,2,16,1,96,354871,3696
list-il-none,2,16,1,96,531620,5537
list-dl-none,2,16,1,96,409162,4262
list-idl-none,2,16,1,96,587357,6118
list-d-none,2,32,1,192,295467,1538
list-id-none,2,32,1,192,961057,5005
list-idl-none,2,32,1,192,1691569,8810
list-i-none,4,1,1,12,173999,14499
list-d-none,4,1,1,12,169587,14132
list-l-none,4,1,1,12,181542,15128
list-id-none,4,1,1,12,173476,14456
list-il-none,4,1,1,12,173200,14433
list-dl-none,4,1,1,12,195760,16313
list-idl-none,4,1,1,12,162471,13539
list-i-none,4,2,1,24,175899,7329
list-d-none,4,2,1,24,176807,7366
list-l-none,4,2,1,24,162383,6765
list-id-none,4,2,1,24,195265,8136
list-il-none,4,2,1,24,180507,7521
list-dl-none,4,2,1,24,232877,9703
list-idl-none,4,2,1,24,232885,9703
list-d-none,4,8,1,96,168880,1759
list-i-none,8,1,1,24,512873,21369
list-d-none,8,1,1,24,530457,22102
list-l-none,8,1,1,24,541330,22555
list-id-none,8,1,1,24,485995,20249
list-dl-none,8,1,1,24,517056,21544
list-idl-none,8,1,1,24,1802376,75099
list-i-none,8,2,1,48,531401,11070
list-d-none,8,2,1,48,509723,10619
list-il-none,8,2,1,48,516063,10751
list-d-none,8,4,1,96,531596,5537
list-d-none,8,8,1,192,564338,2939
list-d-none,8,32,1,768,2460181,3203
list-i-none,12,1,1,36,750471,20846
list-d-none,12,1,1,36,797808,22161
list-l-none,12,1,1,36,696288,19341
list-id-none,12,1,1,36,747533,20764
list-il-none,12,1,1,36,751941,20887
list-dl-none,12,1,1,36,775337,21537
list-idl-none,12,1,1,36,742003,20611
list-i-none,12,2,1,72,775534,10771
list-d-none,12,2,1,72,721740,10024
list-id-none,12,2,1,72,717872,9970
list-idl-none,12,2,1,72,764990,10624
list-d-none,12,4,1,144,754343,5238
list-l-none,12,4,1,144,779572,5413
list-id-none,12,4,1,144,720653,5004
list-idl-m,12,32,1,1152,12020008,10434
list-idl-s,12,32,1,1152,15365583,13338
list-i-m,12,32,1,1152,6081772,5279
list-i-s,12,32,1,1152,8263738,7173
list-d-m,12,32,1,1152,1927704,1673
list-d-s,12,32,1,1152,3215366,2791
list-l-m,12,32,1,1152,5602861,4863
list-l-s,12,32,1,1152,8455241,7339
list-id-m,12,32,1,1152,7139442,6197
list-id-s,12,32,1,1152,10321022,8959
list-dl-m,12,32,1,1152,6623857,5749
list-dl-s,12,32,1,1152,9351608,8117
list-il-m,12,32,1,1152,10992260,9541
list-il-s,12,32,1,1152,15212381,13205
list-none-m,1,1000,1,3000,7296905,2432
list-none-m,2,1000,1,6000,14430533,2405
list-none-m,4,1000,1,12000,28639063,2386
list-none-m,8,1000,1,24000,57530283,2397
list-none-m,12,1000,1,36000,85526962,2375
list-none-m,16,1000,1,48000,113944162,2373
list-none-m,24,1000,1,72000,170724326,2371
list-none-s,1,1000,1,3000,7294088,2431
list-none-s,2,1000,1,6000,48792110,8132
list-none-s,4,1000,1,12000,164416651,13701
list-none-s,8,1000,1,24000,646016127,26917
list-none-s,12,1000,1,36000,782337972,21731
list-none-s,16,1000,1,48000,827468452,17238
list-none-s,24,1000,1,72000,2691355224,37379
